DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146295,146295,0.500000,Transmission,Mk10,1,18:55:20 10-Mar-2015,18:58:40 10-Mar-2015,Surface,,,,,199,201,142,58
146295,146295,0.500000,Transmission,Mk10,1,18:58:40 10-Mar-2015,20:44:50 10-Mar-2015,Dive,1,Square,37.5,38.0,6369,6371,,
146295,146295,0.500000,Transmission,Mk10,1,20:44:50 10-Mar-2015,20:57:40 10-Mar-2015,Surface,,,,,769,771,621,149
146295,146295,0.500000,Transmission,Mk10,,20:57:00 10-Mar-2015,01:54:20 11-Mar-2015,Message,9,,,,17831.000000,17849.000000,,
146295,146295,0.500000,Transmission,Mk10,,20:57:00 10-Mar-2015,21:33:00 10-Mar-2015,Dive,1,Square,35.5,36.0,2159,2161,,
146295,146295,0.500000,Transmission,Mk10,,21:33:00 10-Mar-2015,21:35:00 10-Mar-2015,Surface,,,,,119,121,81,39
146295,146295,0.500000,Transmission,Mk10,,21:35:00 10-Mar-2015,21:59:10 10-Mar-2015,Dive,1,Square,35.5,36.0,1449,1451,,
146295,146295,0.500000,Transmission,Mk10,,21:59:10 10-Mar-2015,22:00:40 10-Mar-2015,Surface,,,,,89,91,52,38
146295,146295,0.500000,Transmission,Mk10,,22:00:40 10-Mar-2015,22:43:50 10-Mar-2015,Dive,1,Square,38.5,39.0,2589,2591,,
146295,146295,0.500000,Transmission,Mk10,,22:43:50 10-Mar-2015,22:46:40 10-Mar-2015,Surface,,,,,169,171,104,66
146295,146295,0.500000,Transmission,Mk10,,22:46:40 10-Mar-2015,00:16:30 11-Mar-2015,Dive,1,Square,37.5,38.0,5389,5391,,
146295,146295,0.500000,Transmission,Mk10,,00:16:30 11-Mar-2015,00:19:40 11-Mar-2015,Surface,,,,,189,191,123,67
146295,146295,0.500000,Transmission,Mk10,,00:19:40 11-Mar-2015,01:54:20 11-Mar-2015,Dive,1,Square,38.5,39.0,5679,5681,,
146295,146295,0.500000,Transmission,Mk10,,01:55:00 11-Mar-2015,08:33:40 11-Mar-2015,Message,9,,,,23911.000000,23929.000000,,
146295,146295,0.500000,Transmission,Mk10,,01:55:00 11-Mar-2015,01:57:50 11-Mar-2015,Surface,,,,,169,171,115,55
146295,146295,0.500000,Transmission,Mk10,,01:57:50 11-Mar-2015,03:35:00 11-Mar-2015,Dive,1,Square,35.5,36.0,5829,5831,,
146295,146295,0.500000,Transmission,Mk10,,03:35:00 11-Mar-2015,03:37:50 11-Mar-2015,Surface,,,,,169,171,154,16
146295,146295,0.500000,Transmission,Mk10,,03:37:50 11-Mar-2015,05:12:50 11-Mar-2015,Dive,1,Square,35.5,36.0,5699,5701,,
146295,146295,0.500000,Transmission,Mk10,,05:12:50 11-Mar-2015,05:16:00 11-Mar-2015,Surface,,,,,189,191,135,55
146295,146295,0.500000,Transmission,Mk10,,05:16:00 11-Mar-2015,06:51:40 11-Mar-2015,Dive,1,Square,36.5,37.0,5739,5741,,
146295,146295,0.500000,Transmission,Mk10,,06:51:40 11-Mar-2015,06:55:20 11-Mar-2015,Surface,,,,,219,221,163,57
146295,146295,0.500000,Transmission,Mk10,,06:55:20 11-Mar-2015,08:27:50 11-Mar-2015,Dive,1,Square,37.5,38.0,5549,5551,,
146295,146295,0.500000,Transmission,Mk10,,08:27:50 11-Mar-2015,08:33:40 11-Mar-2015,Surface,,,,,349,351,271,79
146295,146295,0.500000,Transmission,Mk10,,08:33:00 11-Mar-2015,16:28:50 11-Mar-2015,Message,9,,,,28541.000000,28559.000000,,
146295,146295,0.500000,Transmission,Mk10,,08:33:00 11-Mar-2015,10:04:10 11-Mar-2015,Dive,1,Square,37.5,38.0,5469,5471,,
146295,146295,0.500000,Transmission,Mk10,,10:04:10 11-Mar-2015,10:07:30 11-Mar-2015,Surface,,,,,199,201,181,19
146295,146295,0.500000,Transmission,Mk10,,10:07:30 11-Mar-2015,11:41:30 11-Mar-2015,Dive,1,Square,37.5,38.0,5639,5641,,
146295,146295,0.500000,Transmission,Mk10,,11:41:30 11-Mar-2015,11:44:40 11-Mar-2015,Surface,,,,,189,191,153,37
146295,146295,0.500000,Transmission,Mk10,,11:44:40 11-Mar-2015,13:17:20 11-Mar-2015,Dive,1,Square,37.5,38.0,5559,5561,,
146295,146295,0.500000,Transmission,Mk10,,13:17:20 11-Mar-2015,13:20:20 11-Mar-2015,Surface,,,,,179,181,151,29
146295,146295,0.500000,Transmission,Mk10,,13:20:20 11-Mar-2015,14:53:20 11-Mar-2015,Dive,1,Square,36.5,37.0,5579,5581,,
146295,146295,0.500000,Transmission,Mk10,,14:53:20 11-Mar-2015,14:56:30 11-Mar-2015,Surface,,,,,189,191,110,80
146295,146295,0.500000,Transmission,Mk10,,14:56:30 11-Mar-2015,16:28:50 11-Mar-2015,Dive,1,Square,36.5,37.0,5539,5541,,
146295,146295,0.500000,Transmission,Mk10,,16:29:00 11-Mar-2015,22:15:50 11-Mar-2015,Message,9,,,,20801.000000,20819.000000,,
146295,146295,0.500000,Transmission,Mk10,,16:29:00 11-Mar-2015,16:31:50 11-Mar-2015,Surface,,,,,169,171,154,16
146295,146295,0.500000,Transmission,Mk10,,16:31:50 11-Mar-2015,18:00:00 11-Mar-2015,Dive,1,Square,35.5,36.0,5289,5291,,
146295,146295,0.500000,Transmission,Mk10,,18:00:00 11-Mar-2015,18:04:00 11-Mar-2015,Surface,,,,,239,241,194,46
146295,146295,0.500000,Transmission,Mk10,,18:04:00 11-Mar-2015,19:35:00 11-Mar-2015,Dive,1,Square,34.5,35.0,5459,5461,,
146295,146295,0.500000,Transmission,Mk10,,19:35:00 11-Mar-2015,19:38:00 11-Mar-2015,Surface,,,,,179,181,122,58
146295,146295,0.500000,Transmission,Mk10,,19:38:00 11-Mar-2015,21:09:00 11-Mar-2015,Dive,1,Square,37.5,38.0,5459,5461,,
146295,146295,0.500000,Transmission,Mk10,,21:09:00 11-Mar-2015,21:11:50 11-Mar-2015,Surface,,,,,169,171,104,66
146295,146295,0.500000,Transmission,Mk10,,21:11:50 11-Mar-2015,22:13:10 11-Mar-2015,Dive,1,Square,37.5,38.0,3679,3681,,
146295,146295,0.500000,Transmission,Mk10,,22:13:10 11-Mar-2015,22:15:50 11-Mar-2015,Surface,,,,,159,161,124,36
146295,146295,0.500000,Transmission,Mk10,,22:16:00 11-Mar-2015,04:17:50 12-Mar-2015,Message,9,,,,21701.000000,21719.000000,,
146295,146295,0.500000,Transmission,Mk10,,22:16:00 11-Mar-2015,22:37:10 11-Mar-2015,Dive,1,Square,37.5,38.0,1269,1271,,
